,,w,u,total_demand,served,un_served_demand,denied,los
31.0,166,3.0,0.0,22.0,9.0,13.0,12.0,0.4090909090909091
31.0,41,4.0,0.0,22.0,8.0,14.0,12.0,0.36363636363636365
31.0,42,0.0,0.0,10.0,9.0,1.0,2.0,0.9
31.0,43,5.0,6.0,16.0,15.0,1.0,0.0,0.9375
31.0,170,7.0,27.0,101.0,98.0,3.0,0.0,0.9702970297029703
31.0,45,1.0,0.0,3.0,1.0,2.0,1.0,0.3333333333333333
31.0,48,0.0,25.0,90.0,94.0,-4.0,0.0,1.0444444444444445
31.0,50,8.0,3.0,29.0,22.0,7.0,0.0,0.7586206896551724
31.0,186,15.0,29.0,176.0,161.0,15.0,0.0,0.9147727272727273
31.0,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,68,9.0,14.0,50.0,44.0,6.0,0.0,0.88
31.0,74,4.0,0.0,20.0,19.0,1.0,0.0,0.95
31.0,75,13.0,0.0,36.0,22.0,14.0,8.0,0.6111111111111112
31.0,79,19.0,0.0,63.0,39.0,24.0,19.0,0.6190476190476191
31.0,209,1.0,0.0,1.0,0.0,1.0,1.0,0.0
31.0,211,2.0,0.0,3.0,3.0,0.0,0.0,1.0
31.0,87,1.0,1.0,12.0,14.0,-2.0,0.0,1.1666666666666667
31.0,88,5.0,0.0,10.0,7.0,3.0,0.0,0.7
31.0,90,22.0,0.0,56.0,39.0,17.0,0.0,0.6964285714285714
31.0,224,2.0,3.0,28.0,31.0,-3.0,0.0,1.1071428571428572
31.0,100,0.0,16.0,135.0,135.0,0.0,0.0,1.0
31.0,229,9.0,1.0,68.0,70.0,-2.0,0.0,1.0294117647058822
31.0,230,2.0,0.0,32.0,30.0,2.0,0.0,0.9375
