,,w,u,total_demand,served,un_served_demand,denied,los
30.0,232,0.0,1.0,1.0,1.0,0.0,0.0,1.0
30.0,233,0.0,1.0,31.0,40.0,-9.0,0.0,1.2903225806451613
30.0,234,2.0,16.0,42.0,41.0,1.0,0.0,0.9761904761904762
30.0,107,11.0,14.0,76.0,65.0,11.0,0.0,0.8552631578947368
30.0,236,22.0,33.0,99.0,87.0,12.0,0.0,0.8787878787878788
30.0,237,0.0,22.0,85.0,93.0,-8.0,0.0,1.0941176470588236
30.0,238,8.0,13.0,51.0,50.0,1.0,0.0,0.9803921568627451
30.0,239,0.0,9.0,46.0,57.0,-11.0,0.0,1.2391304347826086
30.0,113,1.0,4.0,30.0,33.0,-3.0,0.0,1.1
30.0,114,0.0,0.0,11.0,13.0,-2.0,0.0,1.1818181818181819
30.0,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,116,2.0,0.0,6.0,2.0,4.0,6.0,0.3333333333333333
30.0,244,1.0,0.0,5.0,1.0,4.0,4.0,0.2
30.0,246,0.0,1.0,14.0,16.0,-2.0,1.0,1.1428571428571428
30.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,249,0.0,3.0,39.0,38.0,1.0,7.0,0.9743589743589743
30.0,125,0.0,1.0,7.0,4.0,3.0,4.0,0.5714285714285714
30.0,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,4,7.0,0.0,10.0,3.0,7.0,0.0,0.3
31.0,261,3.0,0.0,6.0,3.0,3.0,0.0,0.5
31.0,262,18.0,0.0,80.0,78.0,2.0,0.0,0.975
31.0,263,7.0,5.0,71.0,74.0,-3.0,0.0,1.0422535211267605
31.0,137,14.0,0.0,54.0,45.0,9.0,4.0,0.8333333333333334
31.0,12,1.0,0.0,1.0,0.0,1.0,0.0,0.0
31.0,13,6.0,7.0,18.0,18.0,0.0,2.0,1.0
31.0,140,5.0,2.0,71.0,73.0,-2.0,0.0,1.028169014084507
31.0,141,9.0,20.0,73.0,64.0,9.0,0.0,0.8767123287671232
31.0,142,3.0,14.0,74.0,77.0,-3.0,0.0,1.0405405405405406
31.0,143,10.0,13.0,42.0,35.0,7.0,3.0,0.8333333333333334
31.0,144,0.0,0.0,2.0,3.0,-1.0,4.0,1.5
31.0,148,11.0,0.0,19.0,8.0,11.0,0.0,0.42105263157894735
31.0,151,3.0,8.0,29.0,26.0,3.0,0.0,0.896551724137931
31.0,24,4.0,0.0,10.0,7.0,3.0,2.0,0.7
31.0,152,2.0,0.0,7.0,2.0,5.0,5.0,0.2857142857142857
31.0,158,4.0,0.0,14.0,12.0,2.0,1.0,0.8571428571428571
31.0,161,7.0,1.0,56.0,56.0,0.0,0.0,1.0
31.0,162,11.0,0.0,96.0,92.0,4.0,0.0,0.9583333333333334
31.0,163,4.0,0.0,38.0,41.0,-3.0,0.0,1.0789473684210527
31.0,164,9.0,0.0,37.0,28.0,9.0,0.0,0.7567567567567568
31.0,166,5.0,0.0,22.0,9.0,13.0,10.0,0.4090909090909091
31.0,41,4.0,0.0,22.0,7.0,15.0,13.0,0.3181818181818182
31.0,42,0.0,0.0,10.0,9.0,1.0,1.0,0.9
31.0,43,7.0,0.0,16.0,9.0,7.0,0.0,0.5625
31.0,170,7.0,19.0,101.0,98.0,3.0,0.0,0.9702970297029703
31.0,45,1.0,0.0,3.0,0.0,3.0,2.0,0.0
31.0,48,0.0,27.0,90.0,94.0,-4.0,0.0,1.0444444444444445
31.0,50,8.0,2.0,29.0,22.0,7.0,0.0,0.7586206896551724
31.0,186,15.0,48.0,176.0,161.0,15.0,0.0,0.9147727272727273
31.0,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,68,9.0,23.0,50.0,44.0,6.0,0.0,0.88
31.0,74,4.0,0.0,20.0,18.0,2.0,5.0,0.9
31.0,75,13.0,0.0,36.0,19.0,17.0,12.0,0.5277777777777778
